Date,Open,High,Low,Close,Shares Traded,Turnover
12-Jan-09,4862,4881.5,4612.75,4698,27512375,1436.15
13-Jan-09,4700.25,4764.15,4605.65,4661.7,26551509,1187.37
14-Jan-09,4684.3,4819.5,4682.1,4751.1,22250018,1062.75
15-Jan-09,4598.4,4598.4,4442.7,4484.65,27555513,1238.97
16-Jan-09,4528.9,4596.85,4520.9,4581.25,16273350,708.72
19-Jan-09,4585.7,4622,4519.85,4542.25,16946065,783.01
20-Jan-09,4495,4495,4363.95,4402.35,16738691,731.32
21-Jan-09,4347.6,4365.05,4230.75,4252.3,27484050,1174.17
22-Jan-09,4326.25,4339.55,4216.95,4289.8,25679899,1062.9
23-Jan-09,4270.7,4338.55,4049.9,4082.15,44636012,1590.87
27-Jan-09,4167.65,4212.35,4111.3,4199.55,32014995,1308.06
28-Jan-09,4220.5,4355.7,4206.35,4340.1,33890754,1436.9
29-Jan-09,4345.45,4487.85,4336.95,4362.05,34273464,1501.68
30-Jan-09,4289.65,4472.8,4285.2,4456.55,24731681,1101.68
02-Feb-09,4403.9,4405.35,4223.75,4238.15,22034101,987.03
03-Feb-09,4266.05,4332.75,4191.1,4253.8,21317740,955.54
04-Feb-09,4296.3,4352.05,4238.6,4251.2,19731857,1005.34
05-Feb-09,4278.5,4284.65,4202.4,4235.35,14637210,655.95
06-Feb-09,4275.65,4350.2,4275.65,4334.15,14227902,646.42
09-Feb-09,4365.55,4469.65,4365.55,4459.5,18196390,799.57
10-Feb-09,4475.15,4596.6,4455.5,4515.8,19908191,891.35
11-Feb-09,4425.3,4522.8,4403.3,4504.3,18909948,839.15
12-Feb-09,4476.05,4530,4456.85,4468.35,18554283,824.04
13-Feb-09,4511.35,4602.15,4511.35,4565.85,16766407,815.63
16-Feb-09,4538.6,4551.75,4333.9,4351.45,19564168,943.72
17-Feb-09,4303.4,4303.4,4145.05,4164.3,28773566,1177.85
18-Feb-09,4101.35,4180.55,4039.4,4077.3,27893322,1077.3
19-Feb-09,4075.85,4157.5,4036.8,4059.15,25485149,1046.85
20-Feb-09,4013.85,4013.85,3912.35,3934.4,27638919,1042.37
24-Feb-09,3923.85,3923.85,3794.9,3878.6,29504272,1089.21
25-Feb-09,3929.85,3976.05,3899.55,3911.7,23673488,913.04
26-Feb-09,3896.05,3907.95,3781.9,3834.9,38608058,1464.91
27-Feb-09,3823.25,3905.45,3758.4,3892.4,36798245,1354.11
02-Mar-09,3831.25,3831.25,3702,3718.35,26736302,1056.9
03-Mar-09,3682.1,3750.5,3621.9,3636.85,42160723,1490.09
04-Mar-09,3671.2,3689.45,3576.55,3586.9,45172605,1535.86
05-Mar-09,3635.55,3667.35,3413.5,3446.35,52851441,1759.82
06-Mar-09,3385.4,3541,3338.8,3455.35,82949333,2474.53
09-Mar-09,3424.35,3446.75,3314.55,3339.7,39391371,1253.76
12-Mar-09,3422.85,3467.75,3380.7,3442.55,49311143,1603.92
13-Mar-09,3498.1,3646.65,3498.1,3632.75,51885944,1833.04
